mutant_name,avg_plddt,avg_iptm
mil12_redesignloop_0_2_sample84,65.90904,0.838
mil12_redesignloop_0_2_sample203,59.95860417,0.832
mil12_redesignloop_0_2_sample141,68.38915686,0.846
mil12_redesignloop_0_2_sample258,66.13728,0.838
mil12_redesignloop_0_2_sample461,67.1779596,0.84
mil12_redesignloop_0_2_sample255,62.74916327,0.84
mil12_redesignloop_0_2_sample281,62.79046939,0.84
mil12_redesignloop_0_2_sample140,67.07670213,0.84
mil12_redesignloop_0_3_sample491,65.01715217,0.84
mil12_redesignloop_0_2_sample273,72.75568421,0.848
mil12_redesignloop_0_2_sample4,64.7860202,0.84
mil12_redesignloop_0_2_sample422,62.76749474,0.838
mil12_redesignloop_0_3_sample21,62.56903158,0.83
mil12_redesignloop_0_3_sample461,64.4345625,0.838
mil12_redesignloop_0_3_sample288,57.63738947,0.83
mil12_redesignloop_0_2_sample248,64.0320396,0.838
mil12_redesignloop_0_2_sample240,63.88992,0.836
mil12_redesignloop_0_2_sample135,61.24379798,0.834
mil12_redesignloop_0_3_sample449,58.87826667,0.83
mil12_redesignloop_0_2_sample55,64.70410101,0.84
mil12_redesignloop_0_3_sample187,64.61619565,0.832
mil12_redesignloop_0_2_sample188,65.59434343,0.84
mil12_redesignloop_0_2_sample263,63.73329293,0.84
mil12_redesignloop_0_2_sample291,65.29013208,0.84
mil12_redesignloop_0_3_sample463,62.74236957,0.834
mil12_redesignloop_0_2_sample442,62.47837895,0.832
mil12_redesignloop_0_2_sample245,64.33131959,0.84
mil12_redesignloop_0_3_sample425,59.26844681,0.83
mil12_redesignloop_0_3_sample255,59.94567391,0.83
mil12_redesignloop_0_2_sample347,63.43326531,0.84
mil12_redesignloop_0_3_sample256,71.17703297,0.84
mil12_redesignloop_0_3_sample145,59.4110625,0.83
mil12_redesignloop_0_2_sample358,74.5411875,0.85
mil12_redesignloop_0_3_sample62,65.35391919,0.84
mil12_redesignloop_0_3_sample64,62.82029787,0.832
mil12_redesignloop_0_3_sample204,64.26769892,0.838
mil12_redesignloop_0_2_sample228,66.56454167,0.84
mil12_redesignloop_0_3_sample476,60.64847917,0.838
mil12_redesignloop_0_3_sample357,62.43867391,0.83
mil12_redesignloop_0_3_sample339,59.66569072,0.834
mil12_redesignloop_0_3_sample338,61.06108511,0.834
mil12_redesignloop_0_3_sample258,65.38940426,0.84
mil12_redesignloop_0_3_sample216,59.53564948,0.82
mil12_redesignloop_0_2_sample187,64.13410526,0.84
mil12_redesignloop_0_3_sample231,60.22868687,0.838
mil12_redesignloop_0_3_sample465,63.28490526,0.838
mil12_redesignloop_0_3_sample197,63.73256842,0.838
mil12_redesignloop_0_3_sample205,63.48808333,0.836
mil12_redesignloop_0_3_sample422,63.92504255,0.838
mil12_redesignloop_0_3_sample173,63.568,0.838
mil12_redesignloop_0_2_sample11,68.85718812,0.842
mil12_redesignloop_0_3_sample304,66.50964835,0.84
mil12_redesignloop_0_3_sample207,72.66674468,0.84
mil12_redesignloop_0_3_sample189,63.7893617,0.832
mil12_redesignloop_0_2_sample153,66.44985859,0.84
mil12_redesignloop_0_2_sample234,60.96689583,0.836
mil12_redesignloop_0_3_sample115,65.2409011,0.836
mil12_redesignloop_0_2_sample59,65.48113402,0.84
mil12_redesignloop_0_2_sample205,61.80529293,0.83
mil12_redesignloop_0_3_sample20,60.11163265,0.836
mil12_redesignloop_0_3_sample411,60.44909474,0.832
mil12_redesignloop_0_2_sample101,66.12855238,0.84
mil12_redesignloop_0_3_sample365,65.86975,0.84
mil12_redesignloop_0_3_sample437,58.31895455,0.83
mil12_redesignloop_0_2_sample365,69.33516505,0.848
mil12_redesignloop_0_3_sample468,62.21520833,0.832
mil12_redesignloop_0_3_sample316,61.69004396,0.834
mil12_redesignloop_0_3_sample342,62.26728421,0.836
mil12_redesignloop_0_3_sample160,65.06767033,0.84
mil12_redesignloop_0_2_sample253,76.06146809,0.85
mil12_redesignloop_0_2_sample54,67.29352083,0.84
mil12_redesignloop_0_3_sample75,73.55234091,0.844
mil12_redesignloop_0_2_sample392,64.83818367,0.838
mil12_redesignloop_0_3_sample35,66.25979798,0.84
mil12_redesignloop_0_2_sample166,63.50094231,0.84
mil12_redesignloop_0_3_sample500,65.54655446,0.84
mil12_redesignloop_0_2_sample357,65.5714902,0.84
mil12_redesignloop_0_3_sample361,59.36903297,0.83
mil12_redesignloop_0_3_sample138,59.006,0.832
mil12_redesignloop_0_3_sample196,59.3926875,0.832
mil12_redesignloop_0_2_sample191,61.82738144,0.834
mil12_redesignloop_0_2_sample366,63.2676,0.832
mil12_redesignloop_0_3_sample278,64.69859184,0.84
mil12_redesignloop_0_2_sample173,65.46996078,0.84
mil12_redesignloop_0_2_sample323,62.72601961,0.84
mil12_redesignloop_0_2_sample373,62.01670833,0.834
mil12_redesignloop_0_3_sample367,65.17491667,0.84
mil12_redesignloop_0_2_sample212,64.10874,0.834
mil12_redesignloop_0_2_sample79,66.14134,0.84
mil12_redesignloop_0_3_sample34,61.40755789,0.834
mil12_redesignloop_0_2_sample99,63.47279592,0.84
mil12_redesignloop_0_3_sample88,63.343,0.84
