mutant_name,aa_count,start_pos,end_pos,avg_plddt,avg_iptm,avg_atom_count
mil12_alphahelix_14-25aa_34_10,16,147,162,83.38822727,0.85,132
mil12_alphahelix_14-25aa_14_9,19,147,165,85.34902469,0.848,162
mil12_alphahelix_14-25aa_46_4,25,147,171,39.76854023,0.812,174
mil12_alphahelix_14-25aa_10_10,23,147,169,66.33487568,0.818,185
mil12_alphahelix_14-25aa_44_8,15,147,161,73.57027692,0.84,130
mil12_alphahelix_14-25aa_36_8,19,147,165,87.07030769,0.85,169
mil12_alphahelix_14-25aa_22_8,17,147,163,82.79909353,0.85,139
mil12_alphahelix_14-25aa_18_9,25,147,171,63.78955779,0.82,199
mil12_alphahelix_14-25aa_33_4,23,147,169,51.72300571,0.804,175
mil12_alphahelix_14-25aa_30_2,21,147,167,63.01525316,0.818,158
mil12_alphahelix_14-25aa_41_1,23,147,169,68.7663913,0.816,184
mil12_alphahelix_14-25aa_38_3,19,147,165,87.15389286,0.85,168
mil12_alphahelix_14-25aa_34_3,16,147,162,69.95743662,0.846,142
mil12_alphahelix_14-25aa_15_6,17,147,163,84.28324324,0.85,148
mil12_alphahelix_14-25aa_38_2,19,147,165,87.98420732,0.848,164
mil12_alphahelix_14-25aa_48_10,18,147,164,84.31453846,0.842,156
mil12_alphahelix_14-25aa_7_8,25,147,171,60.4497451,0.8,204
mil12_alphahelix_14-25aa_12_8,22,147,168,77.19261017,0.84,177
mil12_alphahelix_14-25aa_37_10,25,147,171,63.64341304,0.81,184
mil12_alphahelix_14-25aa_12_5,22,147,168,75.22404396,0.82,182
mil12_alphahelix_14-25aa_11_10,25,147,171,75.11962189,0.816,201
mil12_alphahelix_14-25aa_50_2,15,147,161,80.570875,0.85,128
mil12_alphahelix_14-25aa_43_4,21,147,167,85.04668571,0.85,175
mil12_alphahelix_14-25aa_7_3,25,147,171,55.0998756,0.8,209
mil12_alphahelix_14-25aa_38_1,19,147,165,88.1513913,0.846,161
mil12_alphahelix_14-25aa_26_7,21,147,167,90.0567931,0.852,174
mil12_alphahelix_14-25aa_26_4,21,147,167,88.86111351,0.86,185
mil12_alphahelix_14-25aa_34_8,16,147,162,82.60675177,0.84,141
mil12_alphahelix_14-25aa_12_9,22,147,168,78.85054144,0.824,181
mil12_alphahelix_14-25aa_47_2,20,147,166,89.28022892,0.86,166
